,alpha_l,alpha_r
DINOv2+1+dinov2_transform+ridge+2048+concat_pca,1.0,1.0
DINOv2+DINOv2+dinov2_transform+ridge+9999999+concat_pca,20000.0,20000.0
DINOv2+DINOvv2+dinov2_transform+ridge+2048+concat_pca,20000.0,20000.0
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge+2048+concat_pca,10000.0,10000.0
DINOv2l+19&20&21+dinov2_transform_V2+ridge+2048+concat_pca,10000.0,10000.0
RetinaNet+body.layer3.0.relu_2&body.layer3.1.relu_2&body.layer3.2.relu_2&body.layer3.3.relu_2&body.layer3.4.relu_2&body.layer3.5.relu_2+imagenet_transform_alt+ridge+512+pca_concat,100000.0,100000.0
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
RetinaNet+body.layer3.1.relu+imagenet_transform_alt+ridge+2048+concat_pca,20000.0,20000.0
RetinaNet+body.layer3.5.relu_1+imagenet_transform_alt+ridge+2048+concat_pca,10000.0,10000.0
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,50000.0,50000.0
RetinaNet+body.layer4.2.relu+imagenet_transform_alt+ridge+2048+concat_pca,1000.0,1000.0
RetinaNet+body.layer4.2.relu_1+imagenet_transform_alt+ridge+2048+concat_pca,100.0,100.0
RetinaNet+body.layer4.2.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,20000.0,20000.0
RetinaNet+fpn+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
ViT_GPT2+decoder.8+ViT_GPT2_transform+ridge+2048+pca_concat,2000000.0,2000000.0
ViT_GPT2+decoder.9+ViT_GPT2_transform+ridge+2048+pca_concat,2000000.0,2000000.0
ZFNet+features.stage2.unit1.activ+imagenet_V2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
ZFNet+features.stage2.unit1.activ+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
ZFNet+features.stage3.pool3+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
ZFNet+features.stage3.pool3+imagenet_transform_alt+ridge+2048+concat_pca,50000.0,50000.0
ZFNet+features.stage3.unit1.activ+imagenet_V2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
ZFNet+features.stage3.unit1.activ+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
ZFNet+features.stage3.unit2.activ+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
ZFNet+features.stage3.unit2.activ+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
ZFNet+features.stage3.unit3.activ+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
ZFNet+features.stage3.unit3.activ+imagenet_transform_alt+ridge+2048+concat_pca,50000.0,50000.0
alexnet+features.1+imagenet_V2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
alexnet+features.1+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
alexnet+features.10&features.11&features.12+imagenet_V2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
alexnet+features.10&features.11&features.12+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
alexnet+features.11+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
alexnet+features.11+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
alexnet+features.12+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
alexnet+features.12+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
alexnet+features.4+imagenet_V2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
alexnet+features.4+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
alexnet+features.7+imagenet_V2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
alexnet+features.7+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
alexnet+features.9+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
alexnet+features.9+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
dino_res50+layer1.2.relu&layer2.3.relu&layer3.5.relu&layer4.2.relu&avgpool+dino_resnet50_preprocess+ridge+512+pca_concat,100000.0,100000.0
dino_res50+layer2.3.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,100000.0,100000.0
dino_res50+layer3.0.relu&layer3.1.relu&layer3.2.relu&layer3.3.relu&layer3.4.relu&layer3.5.relu+dino_resnet50_preprocess+ridge+512+pca_concat,100000.0,100000.0
dino_res50+layer4.0.relu&layer4.1.relu&layer4.2.relu&avgpool+dino_resnet50_preprocess+ridge+512+pca_concat,100000.0,100000.0
dino_res50+layer4.0.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,100000.0,100000.0
dino_res50+layer4.1.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,20000.0,20000.0
efficientnetb2+avgpool+efficientnetb2_transform+ridge+9999999+concat_pca,1000.0,1000.0
efficientnetb2+features.3.0.block.2+efficientnetb2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
efficientnetb2+features.3.2.block.3+efficientnetb2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
efficientnetb2+features.4.1.block.3+efficientnetb2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
efficientnetb2+features.5.1.block.2+efficientnetb2_transform+ridge+2048+concat_pca,100000.0,100000.0
efficientnetb2+features.6.4.block.3+efficientnetb2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
efficientnetb2+features.7.0.block.3+efficientnetb2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
efficientnetb2+features.8+efficientnetb2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
efficientnetb2+flatten+efficientnetb2_transform+ridge+9999999+concat_pca,1000.0,1000.0
resnet50+avgpool+imagenet_V2_transform+ridge+2048+concat_pca,1000.0,1000.0
resnet50+avgpool+imagenet_transform_alt+ridge+2048+concat_pca,1000.0,1000.0
resnet50+layer1.0.relu+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer1.0.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer1.1.relu+imagenet_V2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
resnet50+layer1.1.relu+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer1.2.relu+imagenet_V2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
resnet50+layer1.2.relu+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer2.1.relu+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer2.1.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer2.2.relu+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer2.2.relu+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer2.3.relu+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer2.3.relu+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer3.0.relu+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer3.0.relu+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer3.1.relu+imagenet_V2_transform+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.1.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.2.relu+imagenet_V2_transform+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.2.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.3.relu+imagenet_V2_transform+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.3.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.4.relu+imagenet_V2_transform+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.4.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.5.relu+imagenet_V2_transform+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.5.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer4.0.relu+imagenet_V2_transform+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer4.0.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer4.1.relu+imagenet_V2_transform+ridge+2048+concat_pca,50000.0,50000.0
resnet50+layer4.1.relu+imagenet_transform_alt+ridge+2048+concat_pca,50000.0,50000.0
resnet50+layer4.2.relu+imagenet_V2_transform+ridge+2048+concat_pca,20000.0,20000.0
resnet50+layer4.2.relu+imagenet_transform_alt+ridge+2048+concat_pca,20000.0,20000.0
vgg16+avgpool+imagenet_V2_transform+ridge+2048+concat_pca,50000.0,50000.0
vgg16+avgpool+imagenet_transform_alt+ridge+2048+concat_pca,20000.0,20000.0
vgg19+avgpool+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
vgg19+avgpool+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
vgg19+features.33+imagenet_V2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
vgg19+features.33+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
vgg19+features.35+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
vgg19+features.35+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
vgg19_bn+avgpool+imagenet_transform_alt+ridge+2048+concat_pca,20000.0,20000.0
vgg19_bn+features.42+imagenet_transform_alt+ridge+2048+concat_pca,10000.0,10000.0
vgg19_bn+features.45+imagenet_transform_alt+ridge+2048+concat_pca,10000.0,10000.0
vgg19_bn+features.51+imagenet_transform_alt+ridge+2048+concat_pca,50000.0,50000.0
